instance,run,agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
cubic_1000.txt,10,HHO,3,8,8,885.000000000,4.717000008
cubic_1100.txt,1,ACO,14,31,31,948.000000000,8.447000027
cubic_1100.txt,1,Tabu Search,8,80,79,1196.000000000,0.016000032
cubic_1100.txt,1,RVNS,2,80,79,1196.000000000,0.047000170
cubic_1100.txt,1,HHO,3,8,8,959.000000000,8.011000156
cubic_1100.txt,2,ACO,18,30,30,952.000000000,23.042999983
cubic_1100.txt,2,Tabu Search,6,80,79,1210.000000000,0.103999853
cubic_1100.txt,2,RVNS,7,80,79,1211.000000000,0.019000053
cubic_1100.txt,2,HHO,5,8,8,968.000000000,7.921000004
cubic_1100.txt,3,ACO,18,30,30,958.000000000,24.716000080
cubic_1100.txt,3,Tabu Search,3,80,79,1227.000000000,0.015000105
cubic_1100.txt,3,RVNS,4,80,79,1227.000000000,0.015000105
cubic_1100.txt,3,HHO,3,8,8,972.000000000,10.663000107
cubic_1100.txt,4,ACO,17,31,31,949.000000000,21.884999990
cubic_1100.txt,4,Tabu Search,4,80,79,1195.000000000,0.017999887
cubic_1100.txt,4,RVNS,5,80,79,1194.000000000,0.069000006
cubic_1100.txt,4,HHO,4,8,8,963.000000000,25.733000040
cubic_1100.txt,5,ACO,16,31,31,962.000000000,24.408999920
cubic_1100.txt,5,Tabu Search,6,80,79,1235.000000000,0.036000013
cubic_1100.txt,5,RVNS,2,80,79,1235.000000000,0.117999792
cubic_1100.txt,5,HHO,3,8,8,967.000000000,18.334999800
cubic_1100.txt,6,ACO,21,30,30,947.000000000,22.117000103
cubic_1100.txt,6,Tabu Search,3,80,79,1224.000000000,0.007000208
cubic_1100.txt,6,RVNS,6,80,79,1225.000000000,0.007000208
cubic_1100.txt,6,HHO,3,8,8,961.000000000,24.512000084
cubic_1100.txt,7,ACO,14,31,31,964.000000000,10.067999840
cubic_1100.txt,7,Tabu Search,5,80,79,1226.000000000,0.139999866
cubic_1100.txt,7,RVNS,5,80,79,1226.000000000,0.029999971
cubic_1100.txt,7,HHO,3,8,8,978.000000000,8.302000046
cubic_1100.txt,8,ACO,17,30,30,946.000000000,24.865000010
cubic_1100.txt,8,Tabu Search,6,80,79,1222.000000000,0.036999941
cubic_1100.txt,8,RVNS,5,80,79,1223.000000000,0.085999966
cubic_1100.txt,8,HHO,3,8,8,959.000000000,5.123999834
cubic_1100.txt,9,ACO,14,30,30,962.000000000,12.548999786
cubic_1100.txt,9,Tabu Search,6,80,79,1234.000000000,0.019999981
cubic_1100.txt,9,RVNS,4,80,79,1234.000000000,0.055999994
cubic_1100.txt,9,HHO,5,8,8,961.000000000,10.719999790
cubic_1100.txt,10,ACO,15,31,31,959.000000000,22.411999941
cubic_1100.txt,10,Tabu Search,3,80,79,1209.000000000,0.128000021
cubic_1100.txt,10,RVNS,5,80,79,1209.000000000,0.016000032
cubic_1100.txt,10,HHO,3,8,8,969.000000000,14.852999926
cubic_1200.txt,1,ACO,20,32,32,1050.000000000,16.662000179
cubic_1200.txt,1,Tabu Search,6,80,79,1321.000000000,0.114000082
cubic_1200.txt,1,RVNS,8,80,79,1321.000000000,0.049000025
cubic_1200.txt,1,HHO,3,8,8,1063.000000000,8.860000134
