instance,vertices,edges,density,runs_ok,best,mean,worst,stdev,time_min,time_mean,time_max,time_stdev,time_to_best_mean,publications_mean,consultations_mean,shared_reads_mean,z_pli,t_pli,z_ag,t_ag,z_best_ref,gap_percent,pub_aco_mean,cons_aco_mean,best_aco_mean,pub_ts_mean,cons_ts_mean,best_ts_mean,pub_rvns_mean,cons_rvns_mean,best_rvns_mean,pub_hho_mean,cons_hho_mean,best_hho_mean
cubic_2500.txt,2500,3750,0.0012004801920768306,10,2174.0,2187.3,2200.0,8.192815280611557,52.291,53.724599999999995,55.316,0.8240216016585988,38.0872,38.3,221.4,219.4,,,,,,nan,22.6,53.4,2187.8,6.6,80.0,2763.3,6.3,80.0,2763.8,2.8,8.0,2207.2
cubic_2600.txt,2600,3900,0.0011542901115813775,10,2268.0,2280.3,2290.0,8.179242018671411,54.416,55.951800000000006,57.141,0.9210295929616554,43.654700000000005,38.8,223.1,221.1,,,,,,nan,22.0,55.1,2280.5,7.5,80.0,2879.2,6.1,80.0,2880.1,3.2,8.0,2294.3
cubic_2700.txt,2700,4050,0.0011115227862171174,10,2353.0,2362.7,2372.0,6.532823109328598,56.302,58.3058,61.879,1.9064247398963556,45.6863,42.1,224.4,222.4,,,,,,nan,25.3,56.4,2362.7,7.4,80.0,2996.7,6.5,80.0,2996.7,2.9,8.0,2388.2
cubic_2800.txt,2800,4200,0.0010718113612004287,10,2445.0,2454.5,2467.0,7.663042621715099,57.968,61.03060000000001,67.188,3.220539816725002,48.4473,43.1,225.7,223.7,,,,,,nan,27.1,57.7,2454.5,7.8,80.0,3098.7,6.1,80.0,3099.4,2.1,8.0,2481.9
cubic_2900.txt,2900,4350,0.0010348395998620215,10,2519.0,2534.2,2550.0,10.819735055289787,69.883,75.3139,86.203,4.4381570361781675,56.47709999999999,43.7,224.9,222.9,,,,,,nan,26.7,56.9,2534.2,7.5,80.0,3226.7,6.9,80.0,3226.0,2.6,8.0,2560.7
cubic_300.txt,300,450,0.010033444816053512,10,251.0,257.6,263.0,3.5962943891363137,10.075,11.5959,15.812,1.8959114753126587,8.2729,19.5,180.1,178.1,,,,,,nan,7.3,12.1,259.5,3.5,80.0,328.7,3.8,80.0,328.7,4.9,8.0,259.3
cubic_3000.txt,3000,4500,0.0010003334444814939,10,2618.0,2635.9,2651.0,8.633912464488185,71.467,81.24969999999999,111.264,12.579711019909972,55.263099999999994,38.1,227.5,225.5,,,,,,nan,22.2,59.5,2638.1,6.3,80.0,3320.5,6.4,80.0,3320.3,3.2,8.0,2647.9
cubic_400.txt,400,600,0.007518796992481203,10,338.0,345.7,352.0,4.029061098237818,12.108,14.2103,19.673,2.812343666766208,9.4129,21.1,182.7,180.7,,,,,,nan,9.1,14.7,347.7,3.3,80.0,438.8,4.0,80.0,438.8,4.7,8.0,347.3
cubic_500.txt,500,750,0.006012024048096192,10,427.0,432.9,439.0,3.984692933938295,14.125,14.8388,16.9,0.8140259073136292,9.669,21.7,184.9,182.9,,,,,,nan,9.7,16.9,434.6,4.1,80.0,548.4,4.0,80.0,548.2,3.9,8.0,438.5
cubic_600.txt,600,900,0.005008347245409015,10,514.0,517.4,520.0,1.837873166945363,16.136,17.5621,22.586,2.2852112691049906,9.6723,22.1,187.0,185.0,,,,,,nan,9.4,19.0,517.9,4.5,80.0,659.7,4.1,80.0,659.5,4.1,8.0,520.5
cubic_700.txt,700,1050,0.004291845493562232,10,592.0,603.1,610.0,4.909175083453431,19.433,22.5591,25.891,1.9171097140110565,17.1058,25.5,189.4,187.4,,,,,,nan,12.6,21.4,603.1,4.3,80.0,770.8,4.5,80.0,770.8,4.1,8.0,610.7
cubic_800.txt,800,1200,0.0037546933667083854,10,690.0,694.1,701.0,3.5103022978402048,17.729,21.163800000000002,26.974,3.6093386836556824,16.4015,27.4,192.0,190.0,,,,,,nan,13.5,24.0,694.1,4.6,80.0,881.7,5.2,80.0,881.9,4.1,8.0,702.4
cubic_900.txt,900,1350,0.0033370411568409346,10,775.0,782.5,794.0,5.359311730271176,22.633,24.1383,27.382,1.4659132951470526,17.799100000000003,27.0,193.2,191.2,,,,,,nan,14.4,25.2,782.6,5.8,80.0,991.7,3.6,80.0,991.7,3.2,8.0,793.4
