instance,elapsed_seconds,mean_global_best,min_global_best,max_global_best,runs_with_value
cubic_100.txt,0.0,nan,nan,nan,0
cubic_100.txt,0.0579399991,109.8,103.0,116.0,10
cubic_100.txt,0.1158799982,109.8,103.0,116.0,10
cubic_100.txt,0.1738199973,109.8,103.0,116.0,10
cubic_100.txt,0.2317599964,109.8,103.0,116.0,10
cubic_100.txt,0.28969999550000003,109.8,103.0,116.0,10
cubic_100.txt,0.3476399946,109.8,103.0,116.0,10
cubic_100.txt,0.40557999370000003,109.8,103.0,116.0,10
cubic_100.txt,0.4635199928,108.8,94.0,116.0,10
cubic_100.txt,0.5214599919,98.6,87.0,115.0,10
cubic_100.txt,0.5793999910000001,87.6,84.0,94.0,10
cubic_100.txt,0.6373399901000001,87.6,84.0,94.0,10
cubic_100.txt,0.6952799892,87.6,84.0,94.0,10
cubic_100.txt,0.7532199883,87.6,84.0,94.0,10
cubic_100.txt,0.8111599874000001,87.6,84.0,94.0,10
cubic_100.txt,0.8690999865000001,87.6,84.0,94.0,10
cubic_100.txt,0.9270399856,87.6,84.0,94.0,10
cubic_100.txt,0.9849799847,87.0,84.0,89.0,10
cubic_100.txt,1.0429199838,86.3,84.0,88.0,10
cubic_100.txt,1.1008599829,86.3,84.0,88.0,10
cubic_100.txt,1.1587999820000001,86.2,84.0,88.0,10
cubic_100.txt,1.2167399811,86.2,84.0,88.0,10
cubic_100.txt,1.2746799802000002,86.2,84.0,88.0,10
cubic_100.txt,1.3326199793,86.2,84.0,88.0,10
cubic_100.txt,1.3905599784,86.2,84.0,88.0,10
cubic_100.txt,1.4484999775,86.2,84.0,88.0,10
cubic_100.txt,1.5064399766,86.0,84.0,88.0,10
cubic_100.txt,1.5643799756999999,86.0,84.0,88.0,10
cubic_100.txt,1.6223199748000001,85.6,84.0,88.0,10
cubic_100.txt,1.6802599739000001,85.4,84.0,88.0,10
cubic_100.txt,1.7381999730000002,85.4,84.0,88.0,10
