instance,run,status,returncode,vertices,edges,density,best,elapsed_seconds,time_to_best_seconds,publications,consultations,shared_reads,stdout_file,stderr_file
cubic_1200.txt,2,ok,0,1200,1800,0.0025020850708924102,1050.0,27.077,22.874,33,200,198,run_logs\cubic_1200.stdout.txt,run_logs\cubic_1200.stderr.txt
cubic_1200.txt,3,ok,0,1200,1800,0.0025020850708924102,1041.0,26.34,25.521,33,200,198,run_logs\cubic_1200.stdout.txt,run_logs\cubic_1200.stderr.txt
cubic_1200.txt,4,ok,0,1200,1800,0.0025020850708924102,1043.0,26.571,10.324,29,200,198,run_logs\cubic_1200.stdout.txt,run_logs\cubic_1200.stderr.txt
cubic_1200.txt,5,ok,0,1200,1800,0.0025020850708924102,1041.0,27.267,25.677,29,201,199,run_logs\cubic_1200.stdout.txt,run_logs\cubic_1200.stderr.txt
cubic_1200.txt,6,ok,0,1200,1800,0.0025020850708924102,1041.0,26.473,24.049,29,200,198,run_logs\cubic_1200.stdout.txt,run_logs\cubic_1200.stderr.txt
cubic_1200.txt,7,ok,0,1200,1800,0.0025020850708924102,1046.0,27.632,23.873,23,201,199,run_logs\cubic_1200.stdout.txt,run_logs\cubic_1200.stderr.txt
cubic_1200.txt,8,ok,0,1200,1800,0.0025020850708924102,1036.0,28.292,9.783,30,201,199,run_logs\cubic_1200.stdout.txt,run_logs\cubic_1200.stderr.txt
cubic_1200.txt,9,ok,0,1200,1800,0.0025020850708924102,1046.0,27.461,21.758,33,201,199,run_logs\cubic_1200.stdout.txt,run_logs\cubic_1200.stderr.txt
cubic_1200.txt,10,ok,0,1200,1800,0.0025020850708924102,1039.0,26.868,26.865,32,200,198,run_logs\cubic_1200.stdout.txt,run_logs\cubic_1200.stderr.txt
cubic_1300.txt,1,ok,0,1300,1950,0.0023094688221709007,1138.0,29.066,14.877,34,202,200,run_logs\cubic_1300.stdout.txt,run_logs\cubic_1300.stderr.txt
cubic_1300.txt,2,ok,0,1300,1950,0.0023094688221709007,1136.0,29.691,25.637,35,203,201,run_logs\cubic_1300.stdout.txt,run_logs\cubic_1300.stderr.txt
cubic_1300.txt,3,ok,0,1300,1950,0.0023094688221709007,1136.0,29.655,15.562,29,203,201,run_logs\cubic_1300.stdout.txt,run_logs\cubic_1300.stderr.txt
cubic_1300.txt,4,ok,0,1300,1950,0.0023094688221709007,1126.0,29.825,19.42,37,203,201,run_logs\cubic_1300.stdout.txt,run_logs\cubic_1300.stderr.txt
cubic_1300.txt,5,ok,0,1300,1950,0.0023094688221709007,1137.0,28.587,11.759,27,202,200,run_logs\cubic_1300.stdout.txt,run_logs\cubic_1300.stderr.txt
cubic_1300.txt,6,ok,0,1300,1950,0.0023094688221709007,1133.0,29.342,22.847,41,203,201,run_logs\cubic_1300.stdout.txt,run_logs\cubic_1300.stderr.txt
cubic_1300.txt,7,ok,0,1300,1950,0.0023094688221709007,1145.0,29.154,18.384,35,203,201,run_logs\cubic_1300.stdout.txt,run_logs\cubic_1300.stderr.txt
cubic_1300.txt,8,ok,0,1300,1950,0.0023094688221709007,1123.0,29.518,28.962,29,203,201,run_logs\cubic_1300.stdout.txt,run_logs\cubic_1300.stderr.txt
cubic_1300.txt,9,ok,0,1300,1950,0.0023094688221709007,1140.0,29.271,18.42,30,203,201,run_logs\cubic_1300.stdout.txt,run_logs\cubic_1300.stderr.txt
cubic_1300.txt,10,ok,0,1300,1950,0.0023094688221709007,1134.0,30.28,30.278,37,203,201,run_logs\cubic_1300.stdout.txt,run_logs\cubic_1300.stderr.txt
cubic_1400.txt,1,ok,0,1400,2100,0.002144388849177984,1220.0,30.854,17.956,34,204,202,run_logs\cubic_1400.stdout.txt,run_logs\cubic_1400.stderr.txt
cubic_1400.txt,2,ok,0,1400,2100,0.002144388849177984,1215.0,31.425,23.1,36,205,203,run_logs\cubic_1400.stdout.txt,run_logs\cubic_1400.stderr.txt
cubic_1400.txt,3,ok,0,1400,2100,0.002144388849177984,1206.0,31.045,29.455,40,204,202,run_logs\cubic_1400.stdout.txt,run_logs\cubic_1400.stderr.txt
cubic_1400.txt,4,ok,0,1400,2100,0.002144388849177984,1205.0,31.069,27.041,39,204,202,run_logs\cubic_1400.stdout.txt,run_logs\cubic_1400.stderr.txt
cubic_1400.txt,5,ok,0,1400,2100,0.002144388849177984,1220.0,31.293,20.294,27,204,202,run_logs\cubic_1400.stdout.txt,run_logs\cubic_1400.stderr.txt
cubic_1400.txt,6,ok,0,1400,2100,0.002144388849177984,1227.0,32.14,23.621,39,204,202,run_logs\cubic_1400.stdout.txt,run_logs\cubic_1400.stderr.txt
cubic_1400.txt,7,ok,0,1400,2100,0.002144388849177984,1222.0,31.662,29.939,37,205,203,run_logs\cubic_1400.stdout.txt,run_logs\cubic_1400.stderr.txt
cubic_1400.txt,8,ok,0,1400,2100,0.002144388849177984,1220.0,30.518,18.821,32,204,202,run_logs\cubic_1400.stdout.txt,run_logs\cubic_1400.stderr.txt
cubic_1400.txt,9,ok,0,1400,2100,0.002144388849177984,1227.0,31.505,31.501,28,204,202,run_logs\cubic_1400.stdout.txt,run_logs\cubic_1400.stderr.txt
cubic_1400.txt,10,ok,0,1400,2100,0.002144388849177984,1222.0,30.916,23.074,33,204,202,run_logs\cubic_1400.stdout.txt,run_logs\cubic_1400.stderr.txt
cubic_1500.txt,1,ok,0,1500,2250,0.0020013342228152103,1309.0,33.303,33.301,37,206,204,run_logs\cubic_1500.stdout.txt,run_logs\cubic_1500.stderr.txt
cubic_1500.txt,2,ok,0,1500,2250,0.0020013342228152103,1308.0,33.898,31.258,33,206,204,run_logs\cubic_1500.stdout.txt,run_logs\cubic_1500.stderr.txt
cubic_1500.txt,3,ok,0,1500,2250,0.0020013342228152103,1308.0,33.566,9.069,30,207,205,run_logs\cubic_1500.stdout.txt,run_logs\cubic_1500.stderr.txt
cubic_1500.txt,4,ok,0,1500,2250,0.0020013342228152103,1313.0,33.208,33.205,34,206,204,run_logs\cubic_1500.stdout.txt,run_logs\cubic_1500.stderr.txt
cubic_1500.txt,5,ok,0,1500,2250,0.0020013342228152103,1298.0,33.768,32.211,31,206,204,run_logs\cubic_1500.stdout.txt,run_logs\cubic_1500.stderr.txt
cubic_1500.txt,6,ok,0,1500,2250,0.0020013342228152103,1314.0,32.7,25.19,35,206,204,run_logs\cubic_1500.stdout.txt,run_logs\cubic_1500.stderr.txt
cubic_1500.txt,7,ok,0,1500,2250,0.0020013342228152103,1309.0,34.14,15.027,31,206,204,run_logs\cubic_1500.stdout.txt,run_logs\cubic_1500.stderr.txt
cubic_1500.txt,8,ok,0,1500,2250,0.0020013342228152103,1296.0,34.281,33.442,39,206,204,run_logs\cubic_1500.stdout.txt,run_logs\cubic_1500.stderr.txt
cubic_1500.txt,9,ok,0,1500,2250,0.0020013342228152103,1302.0,33.103,26.225,29,206,204,run_logs\cubic_1500.stdout.txt,run_logs\cubic_1500.stderr.txt
cubic_1500.txt,10,ok,0,1500,2250,0.0020013342228152103,1308.0,33.029,28.679,32,205,203,run_logs\cubic_1500.stdout.txt,run_logs\cubic_1500.stderr.txt
cubic_1600.txt,1,ok,0,1600,2400,0.001876172607879925,1387.0,34.667,22.739,31,207,205,run_logs\cubic_1600.stdout.txt,run_logs\cubic_1600.stderr.txt
cubic_1600.txt,2,ok,0,1600,2400,0.001876172607879925,1391.0,35.854,31.765,34,207,205,run_logs\cubic_1600.stdout.txt,run_logs\cubic_1600.stderr.txt
cubic_1600.txt,3,ok,0,1600,2400,0.001876172607879925,1405.0,34.871,19.045,33,207,205,run_logs\cubic_1600.stdout.txt,run_logs\cubic_1600.stderr.txt
cubic_1600.txt,4,ok,0,1600,2400,0.001876172607879925,1391.0,35.388,17.818,33,208,206,run_logs\cubic_1600.stdout.txt,run_logs\cubic_1600.stderr.txt
cubic_1600.txt,5,ok,0,1600,2400,0.001876172607879925,1408.0,34.273,14.827,33,207,205,run_logs\cubic_1600.stdout.txt,run_logs\cubic_1600.stderr.txt
cubic_1600.txt,6,ok,0,1600,2400,0.001876172607879925,1387.0,35.027,31.698,36,208,206,run_logs\cubic_1600.stdout.txt,run_logs\cubic_1600.stderr.txt
cubic_1600.txt,7,ok,0,1600,2400,0.001876172607879925,1404.0,35.422,29.163,34,208,206,run_logs\cubic_1600.stdout.txt,run_logs\cubic_1600.stderr.txt
cubic_1600.txt,8,ok,0,1600,2400,0.001876172607879925,1401.0,36.342,24.068,41,208,206,run_logs\cubic_1600.stdout.txt,run_logs\cubic_1600.stderr.txt
cubic_1600.txt,9,ok,0,1600,2400,0.001876172607879925,1388.0,34.09,28.186,31,207,205,run_logs\cubic_1600.stdout.txt,run_logs\cubic_1600.stderr.txt
cubic_1600.txt,10,ok,0,1600,2400,0.001876172607879925,1395.0,35.572,28.448,39,208,206,run_logs\cubic_1600.stdout.txt,run_logs\cubic_1600.stderr.txt
cubic_1700.txt,1,ok,0,1700,2550,0.0017657445556209534,1481.0,36.776,31.595,40,209,207,run_logs\cubic_1700.stdout.txt,run_logs\cubic_1700.stderr.txt
cubic_1700.txt,2,ok,0,1700,2550,0.0017657445556209534,1484.0,37.345,23.504,37,210,208,run_logs\cubic_1700.stdout.txt,run_logs\cubic_1700.stderr.txt
cubic_1700.txt,3,ok,0,1700,2550,0.0017657445556209534,1479.0,38.006,38.002,34,210,208,run_logs\cubic_1700.stdout.txt,run_logs\cubic_1700.stderr.txt
cubic_1700.txt,4,ok,0,1700,2550,0.0017657445556209534,1475.0,37.839,36.063,23,210,208,run_logs\cubic_1700.stdout.txt,run_logs\cubic_1700.stderr.txt
cubic_1700.txt,5,ok,0,1700,2550,0.0017657445556209534,1471.0,37.257,26.828,37,209,207,run_logs\cubic_1700.stdout.txt,run_logs\cubic_1700.stderr.txt
cubic_1700.txt,6,ok,0,1700,2550,0.0017657445556209534,1485.0,37.547,22.821,39,210,208,run_logs\cubic_1700.stdout.txt,run_logs\cubic_1700.stderr.txt
cubic_1700.txt,7,ok,0,1700,2550,0.0017657445556209534,1492.0,36.906,33.949,36,209,207,run_logs\cubic_1700.stdout.txt,run_logs\cubic_1700.stderr.txt
cubic_1700.txt,8,ok,0,1700,2550,0.0017657445556209534,1462.0,36.547,24.359,37,209,207,run_logs\cubic_1700.stdout.txt,run_logs\cubic_1700.stderr.txt
cubic_1700.txt,9,ok,0,1700,2550,0.0017657445556209534,1481.0,36.693,27.702,37,209,207,run_logs\cubic_1700.stdout.txt,run_logs\cubic_1700.stderr.txt
cubic_1700.txt,10,ok,0,1700,2550,0.0017657445556209534,1482.0,38.134,14.039,35,210,208,run_logs\cubic_1700.stdout.txt,run_logs\cubic_1700.stderr.txt
