elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.003000021,Tabu Search,1104.000000000,1104.000000000,1,1
0.003999949,RVNS,1084.000000000,1084.000000000,2,1
0.003999949,Tabu Search,1103.000000000,1084.000000000,3,0
0.005999804,Tabu Search,1083.000000000,1083.000000000,4,1
0.005999804,RVNS,1081.000000000,1081.000000000,5,1
0.007999897,Tabu Search,1082.000000000,1081.000000000,5,0
0.007999897,RVNS,1098.000000000,1081.000000000,5,0
0.009999990,RVNS,1085.000000000,1081.000000000,5,0
0.016000032,Tabu Search,1080.000000000,1080.000000000,5,1
0.063999891,Tabu Search,1079.000000000,1079.000000000,5,1
0.916999817,ACO,1060.000000000,1060.000000000,5,1
1.694000006,ACO,1064.000000000,1060.000000000,5,0
2.270999908,HHO,899.000000000,899.000000000,5,1
2.470000029,ACO,1057.000000000,899.000000000,5,0
3.309999943,ACO,1055.000000000,899.000000000,5,0
4.213999987,ACO,1049.000000000,899.000000000,5,0
4.717000008,HHO,885.000000000,885.000000000,5,1
4.967999935,ACO,1035.000000000,885.000000000,5,0
5.726999998,ACO,902.000000000,885.000000000,5,0
6.465999842,ACO,893.000000000,885.000000000,5,0
7.145999908,HHO,896.000000000,885.000000000,5,0
7.222999811,ACO,894.000000000,885.000000000,5,0
13.190999985,ACO,892.000000000,885.000000000,5,0
14.028999805,ACO,888.000000000,885.000000000,5,0
14.794999838,ACO,889.000000000,885.000000000,5,0
15.567999840,ACO,886.000000000,885.000000000,5,0
17.210000038,ACO,875.000000000,875.000000000,5,1
18.023999929,ACO,887.000000000,875.000000000,5,0
19.521999836,ACO,883.000000000,875.000000000,5,0
21.011999846,ACO,882.000000000,875.000000000,5,0
