elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.011000156,Tabu Search,222.000000000,222.000000000,1,1
0.011000156,RVNS,233.000000000,222.000000000,2,0
0.013000011,RVNS,232.000000000,222.000000000,3,0
0.013999939,RVNS,221.000000000,221.000000000,4,1
0.019999981,RVNS,231.000000000,221.000000000,5,0
0.023000002,RVNS,230.000000000,221.000000000,5,0
0.828999996,HHO,179.000000000,179.000000000,5,1
0.957999945,ACO,202.000000000,179.000000000,5,0
1.628000021,HHO,176.000000000,176.000000000,5,1
1.743000031,ACO,182.000000000,176.000000000,5,0
2.470000029,ACO,183.000000000,176.000000000,5,0
3.273999929,HHO,178.000000000,176.000000000,5,0
3.861000061,ACO,180.000000000,176.000000000,5,0
5.365000010,ACO,181.000000000,176.000000000,5,0
6.072000027,ACO,167.000000000,167.000000000,5,1
6.752000093,ACO,174.000000000,167.000000000,5,0
