elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.008999825,RVNS,3207.000000000,3207.000000000,1,1
0.008999825,Tabu Search,3251.000000000,3207.000000000,2,0
0.013000011,RVNS,3250.000000000,3207.000000000,3,0
0.014999866,Tabu Search,3212.000000000,3207.000000000,4,0
0.014999866,RVNS,3257.000000000,3207.000000000,5,0
0.019999981,Tabu Search,3215.000000000,3207.000000000,5,0
0.033999920,Tabu Search,3210.000000000,3207.000000000,5,0
0.034999847,RVNS,3214.000000000,3207.000000000,5,0
0.041999817,Tabu Search,3209.000000000,3207.000000000,5,0
0.046000004,RVNS,3208.000000000,3207.000000000,5,0
0.057999849,RVNS,3211.000000000,3207.000000000,5,0
0.154999971,RVNS,3206.000000000,3206.000000000,5,1
1.353999853,ACO,3152.000000000,3152.000000000,5,1
2.724999905,ACO,3130.000000000,3130.000000000,5,1
5.438999891,ACO,3116.000000000,3116.000000000,5,1
6.608999968,ACO,3093.000000000,3093.000000000,5,1
7.579999924,HHO,2575.000000000,2575.000000000,5,1
7.963999987,ACO,3087.000000000,2575.000000000,5,0
9.213999987,ACO,3081.000000000,2575.000000000,5,0
10.396999836,ACO,3074.000000000,2575.000000000,5,0
11.588999987,ACO,2589.000000000,2575.000000000,5,0
12.944999933,ACO,2570.000000000,2570.000000000,5,1
14.139999866,ACO,2565.000000000,2565.000000000,5,1
14.978999853,HHO,2585.000000000,2565.000000000,5,0
15.518999815,ACO,2569.000000000,2565.000000000,5,0
16.718999863,ACO,2579.000000000,2565.000000000,5,0
19.799999952,ACO,2572.000000000,2565.000000000,5,0
23.615999937,ACO,2567.000000000,2565.000000000,5,0
23.741999865,HHO,2568.000000000,2565.000000000,5,0
38.947999954,ACO,2562.000000000,2562.000000000,5,1
42.685999870,ACO,2550.000000000,2550.000000000,5,1
46.508999825,ACO,2563.000000000,2550.000000000,5,0
49.681999922,ACO,2553.000000000,2550.000000000,5,0
51.108999968,ACO,2560.000000000,2550.000000000,5,0
53.554999828,ACO,2557.000000000,2550.000000000,5,0
54.754999876,ACO,2556.000000000,2550.000000000,5,0
58.550999880,ACO,2544.000000000,2544.000000000,5,1
62.436999798,ACO,2552.000000000,2544.000000000,5,0
63.867999792,ACO,2549.000000000,2544.000000000,5,0
65.241999865,ACO,2520.000000000,2520.000000000,5,1
66.575999975,ACO,2543.000000000,2520.000000000,5,0
67.763999939,ACO,2538.000000000,2520.000000000,5,0
72.812999964,ACO,2545.000000000,2520.000000000,5,0
73.913999796,ACO,2535.000000000,2520.000000000,5,0
