agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
ACO,28,58,58,2445.000000000,49.537999868
Tabu Search,11,80,79,3125.000000000,0.199999809
RVNS,5,80,79,3125.000000000,0.335999966
HHO,1,8,8,2483.000000000,43.154999971
