agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
ACO,18,53,53,2117.000000000,41.934999943
Tabu Search,7,80,79,2661.000000000,0.177999973
RVNS,8,80,79,2661.000000000,0.045000076
HHO,4,8,8,2131.000000000,30.675999880
