elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.007999897,RVNS,1903.000000000,1903.000000000,1,1
0.009999990,Tabu Search,1872.000000000,1872.000000000,2,1
0.010999918,RVNS,1901.000000000,1872.000000000,3,0
0.013999939,Tabu Search,1875.000000000,1872.000000000,4,0
0.013999939,RVNS,1900.000000000,1872.000000000,5,0
0.016999960,Tabu Search,1873.000000000,1872.000000000,5,0
0.020999908,RVNS,1877.000000000,1872.000000000,5,0
0.025000095,RVNS,1870.000000000,1870.000000000,5,1
0.026000023,Tabu Search,1874.000000000,1870.000000000,5,0
0.036000013,Tabu Search,1871.000000000,1870.000000000,5,0
0.069000006,Tabu Search,1868.000000000,1868.000000000,5,1
0.088000059,Tabu Search,1869.000000000,1868.000000000,5,0
0.177999973,RVNS,1867.000000000,1867.000000000,5,1
1.184999943,ACO,1827.000000000,1827.000000000,5,1
2.076999903,ACO,1821.000000000,1821.000000000,5,1
3.777999878,HHO,1513.000000000,1513.000000000,5,1
3.798000097,ACO,1810.000000000,1513.000000000,5,0
4.677999973,ACO,1811.000000000,1513.000000000,5,0
5.491999865,ACO,1792.000000000,1513.000000000,5,0
6.316999912,ACO,1790.000000000,1513.000000000,5,0
7.325000048,ACO,1787.000000000,1513.000000000,5,0
8.262000084,HHO,1507.000000000,1507.000000000,5,1
8.510999918,ACO,1788.000000000,1507.000000000,5,0
9.720000029,ACO,1490.000000000,1490.000000000,5,1
10.615999937,ACO,1530.000000000,1490.000000000,5,0
11.489000082,ACO,1502.000000000,1490.000000000,5,0
12.369999886,ACO,1515.000000000,1490.000000000,5,0
13.217000008,ACO,1500.000000000,1490.000000000,5,0
14.039000034,ACO,1482.000000000,1482.000000000,5,1
15.009000063,ACO,1503.000000000,1482.000000000,5,0
17.546999931,HHO,1501.000000000,1482.000000000,5,0
17.644999981,ACO,1494.000000000,1482.000000000,5,0
32.750999928,ACO,1484.000000000,1482.000000000,5,0
34.530999899,ACO,1487.000000000,1482.000000000,5,0
36.263000011,ACO,1488.000000000,1482.000000000,5,0
