elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.001999855,RVNS,777.000000000,777.000000000,1,1
0.003000021,Tabu Search,795.000000000,777.000000000,2,0
0.003000021,RVNS,778.000000000,777.000000000,3,0
0.004999876,RVNS,775.000000000,775.000000000,4,1
0.006000042,Tabu Search,776.000000000,775.000000000,5,0
0.013000011,RVNS,792.000000000,775.000000000,5,0
0.013999939,RVNS,790.000000000,775.000000000,5,0
0.014999866,RVNS,774.000000000,774.000000000,5,1
0.672999859,ACO,748.000000000,748.000000000,5,1
1.233000040,ACO,743.000000000,743.000000000,5,1
1.369999886,HHO,634.000000000,634.000000000,5,1
1.853999853,ACO,729.000000000,634.000000000,5,0
2.445999861,ACO,726.000000000,634.000000000,5,0
2.859999895,HHO,622.000000000,622.000000000,5,1
3.872999907,ACO,727.000000000,622.000000000,5,0
4.649999857,ACO,720.000000000,622.000000000,5,0
4.883999825,HHO,620.000000000,620.000000000,5,1
5.829999924,ACO,631.000000000,620.000000000,5,0
7.109999895,ACO,607.000000000,607.000000000,5,1
8.269000053,ACO,626.000000000,607.000000000,5,0
10.753000021,ACO,625.000000000,607.000000000,5,0
11.463999987,HHO,617.000000000,607.000000000,5,0
11.721999884,ACO,621.000000000,607.000000000,5,0
17.583999872,ACO,610.000000000,607.000000000,5,0
19.453999996,ACO,615.000000000,607.000000000,5,0
