elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.006999969,RVNS,2342.000000000,2342.000000000,1,1
0.008000135,Tabu Search,2389.000000000,2342.000000000,2,0
0.010999918,RVNS,2341.000000000,2341.000000000,3,1
0.012000084,Tabu Search,2339.000000000,2339.000000000,4,1
0.015000105,RVNS,2386.000000000,2339.000000000,5,0
0.016999960,Tabu Search,2338.000000000,2338.000000000,5,1
0.019000053,RVNS,2343.000000000,2338.000000000,5,0
0.022000074,Tabu Search,2340.000000000,2338.000000000,5,0
0.044000149,Tabu Search,2336.000000000,2336.000000000,5,1
0.055000067,Tabu Search,2337.000000000,2336.000000000,5,0
0.121000051,Tabu Search,2335.000000000,2335.000000000,5,1
1.384000063,ACO,2273.000000000,2273.000000000,5,1
2.282999992,ACO,2259.000000000,2259.000000000,5,1
3.158999920,ACO,2249.000000000,2249.000000000,5,1
4.111999989,ACO,2250.000000000,2249.000000000,5,0
4.815999985,HHO,1866.000000000,1866.000000000,5,1
5.062000036,ACO,2253.000000000,1866.000000000,5,0
5.944000006,ACO,2241.000000000,1866.000000000,5,0
6.825999975,ACO,2230.000000000,1866.000000000,5,0
7.710999966,ACO,2232.000000000,1866.000000000,5,0
8.585999966,ACO,2218.000000000,1866.000000000,5,0
9.230000019,HHO,1847.000000000,1847.000000000,5,1
9.470999956,ACO,2213.000000000,1847.000000000,5,0
10.331000090,ACO,1840.000000000,1840.000000000,5,1
11.268000126,ACO,1875.000000000,1840.000000000,5,0
12.143000126,ACO,1841.000000000,1840.000000000,5,0
13.347000122,ACO,1862.000000000,1840.000000000,5,0
14.483000040,ACO,1848.000000000,1840.000000000,5,0
14.893000126,HHO,1842.000000000,1840.000000000,5,0
20.342999935,HHO,1846.000000000,1840.000000000,5,0
40.161999941,ACO,1843.000000000,1840.000000000,5,0
44.091000080,ACO,1836.000000000,1836.000000000,5,1
45.979000092,ACO,1839.000000000,1836.000000000,5,0
