elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.003999949,RVNS,1541.000000000,1541.000000000,1,1
0.004999876,Tabu Search,1559.000000000,1541.000000000,2,0
0.006999969,RVNS,1538.000000000,1538.000000000,3,1
0.007999897,Tabu Search,1540.000000000,1538.000000000,4,0
0.013999939,Tabu Search,1537.000000000,1537.000000000,5,1
0.013999939,RVNS,1536.000000000,1536.000000000,5,1
0.016999960,RVNS,1539.000000000,1536.000000000,5,0
0.023000002,RVNS,1535.000000000,1535.000000000,5,1
0.109999895,RVNS,1534.000000000,1534.000000000,5,1
1.096999884,ACO,1507.000000000,1507.000000000,5,1
1.903999805,ACO,1505.000000000,1505.000000000,5,1
2.712999821,ACO,1489.000000000,1489.000000000,5,1
3.078999996,HHO,1262.000000000,1262.000000000,5,1
3.514999866,ACO,1483.000000000,1262.000000000,5,0
4.332999945,ACO,1481.000000000,1262.000000000,5,0
5.166999817,ACO,1475.000000000,1262.000000000,5,0
5.967999935,ACO,1464.000000000,1262.000000000,5,0
6.118999958,HHO,1251.000000000,1251.000000000,5,1
6.769999981,ACO,1466.000000000,1251.000000000,5,0
7.578999996,ACO,1246.000000000,1246.000000000,5,1
8.373999834,ACO,1247.000000000,1246.000000000,5,0
9.230999947,ACO,1256.000000000,1246.000000000,5,0
9.415999889,HHO,1237.000000000,1237.000000000,5,1
11.973999977,ACO,1253.000000000,1237.000000000,5,0
13.422999859,HHO,1244.000000000,1237.000000000,5,0
14.695999861,ACO,1239.000000000,1237.000000000,5,0
15.490999937,ACO,1230.000000000,1230.000000000,5,1
18.893999815,ACO,1228.000000000,1228.000000000,5,1
19.699999809,ACO,1241.000000000,1228.000000000,5,0
20.500000000,ACO,1224.000000000,1224.000000000,5,1
21.378000021,ACO,1226.000000000,1224.000000000,5,0
23.073999882,ACO,1222.000000000,1222.000000000,5,1
30.148000002,ACO,1223.000000000,1222.000000000,5,0
