agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
ACO,18,49,49,1836.000000000,44.091000080
Tabu Search,7,80,79,2335.000000000,0.121000051
RVNS,4,80,79,2335.000000000,0.255000114
HHO,4,8,8,1842.000000000,14.893000126
