elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.007999897,Tabu Search,3161.000000000,3161.000000000,1,1
0.008999825,RVNS,3134.000000000,3134.000000000,2,1
0.010999918,Tabu Search,3160.000000000,3134.000000000,3,0
0.013000011,RVNS,3155.000000000,3134.000000000,4,0
0.013999939,Tabu Search,3131.000000000,3131.000000000,5,1
0.016999960,RVNS,3159.000000000,3131.000000000,5,0
0.018999815,Tabu Search,3128.000000000,3128.000000000,5,1
0.020999908,RVNS,3138.000000000,3128.000000000,5,0
0.025999784,RVNS,3133.000000000,3128.000000000,5,0
0.027999878,Tabu Search,3135.000000000,3128.000000000,5,0
0.030999899,Tabu Search,3130.000000000,3128.000000000,5,0
0.033999920,Tabu Search,3132.000000000,3128.000000000,5,0
0.047999859,Tabu Search,3129.000000000,3128.000000000,5,0
0.055999994,Tabu Search,3127.000000000,3127.000000000,5,1
0.125999928,Tabu Search,3126.000000000,3126.000000000,5,1
0.199999809,Tabu Search,3125.000000000,3125.000000000,5,1
2.164999962,ACO,3048.000000000,3048.000000000,5,1
3.346999884,ACO,3035.000000000,3035.000000000,5,1
4.344999790,ACO,3020.000000000,3020.000000000,5,1
5.278999805,ACO,3001.000000000,3001.000000000,5,1
6.213999987,ACO,2982.000000000,2982.000000000,5,1
7.008999825,HHO,2487.000000000,2487.000000000,5,1
7.388999939,ACO,2975.000000000,2487.000000000,5,0
9.454999924,ACO,2977.000000000,2487.000000000,5,0
10.432999849,ACO,2509.000000000,2487.000000000,5,0
11.418999910,ACO,2502.000000000,2487.000000000,5,0
12.524999857,ACO,2510.000000000,2487.000000000,5,0
13.548999786,ACO,2489.000000000,2487.000000000,5,0
14.487999916,ACO,2505.000000000,2487.000000000,5,0
15.458999872,ACO,2495.000000000,2487.000000000,5,0
18.413999796,ACO,2492.000000000,2487.000000000,5,0
22.653999805,ACO,2482.000000000,2482.000000000,5,1
23.833999872,ACO,2493.000000000,2482.000000000,5,0
24.852999926,ACO,2468.000000000,2468.000000000,5,1
25.844999790,ACO,2458.000000000,2458.000000000,5,1
26.786999941,ACO,2484.000000000,2458.000000000,5,0
27.784999847,ACO,2472.000000000,2458.000000000,5,0
28.921999931,ACO,2475.000000000,2458.000000000,5,0
29.865000010,ACO,2473.000000000,2458.000000000,5,0
33.736999989,ACO,2464.000000000,2458.000000000,5,0
34.702999830,ACO,2467.000000000,2458.000000000,5,0
35.666999817,ACO,2459.000000000,2458.000000000,5,0
36.684999943,ACO,2448.000000000,2448.000000000,5,1
47.562999964,ACO,2454.000000000,2448.000000000,5,0
49.537999868,ACO,2445.000000000,2445.000000000,5,1
