elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.003999949,Tabu Search,1980.000000000,1980.000000000,1,1
0.005999804,RVNS,2018.000000000,1980.000000000,2,0
0.005999804,Tabu Search,1977.000000000,1977.000000000,3,1
0.007999897,RVNS,1975.000000000,1975.000000000,4,1
0.007999897,Tabu Search,1983.000000000,1975.000000000,5,0
0.009999990,RVNS,1974.000000000,1974.000000000,5,1
0.010999918,Tabu Search,1972.000000000,1972.000000000,5,1
0.011999846,RVNS,1976.000000000,1972.000000000,5,0
0.027999878,Tabu Search,1973.000000000,1972.000000000,5,0
0.098999977,Tabu Search,1969.000000000,1969.000000000,5,1
1.146999836,ACO,1934.000000000,1934.000000000,5,1
2.003000021,ACO,1932.000000000,1932.000000000,5,1
2.890999794,ACO,1926.000000000,1926.000000000,5,1
3.756999969,ACO,1922.000000000,1922.000000000,5,1
3.863999844,HHO,1594.000000000,1594.000000000,5,1
4.605000019,ACO,1896.000000000,1594.000000000,5,0
5.445999861,ACO,1897.000000000,1594.000000000,5,0
6.281999826,ACO,1895.000000000,1594.000000000,5,0
7.166999817,ACO,1894.000000000,1594.000000000,5,0
7.866999865,HHO,1598.000000000,1594.000000000,5,0
8.121999979,ACO,1888.000000000,1594.000000000,5,0
9.235999823,ACO,1887.000000000,1594.000000000,5,0
10.342000008,ACO,1884.000000000,1594.000000000,5,0
11.271999836,ACO,1595.000000000,1594.000000000,5,0
12.152999878,ACO,1592.000000000,1592.000000000,5,1
12.780999899,HHO,1581.000000000,1581.000000000,5,1
12.997999907,ACO,1584.000000000,1581.000000000,5,0
13.838999987,ACO,1589.000000000,1581.000000000,5,0
15.707000017,ACO,1593.000000000,1581.000000000,5,0
16.573999882,ACO,1591.000000000,1581.000000000,5,0
17.536999941,HHO,1571.000000000,1571.000000000,5,1
20.019999981,ACO,1588.000000000,1571.000000000,5,0
22.786000013,ACO,1577.000000000,1571.000000000,5,0
28.415999889,ACO,1582.000000000,1571.000000000,5,0
30.128999949,ACO,1580.000000000,1571.000000000,5,0
31.059999943,ACO,1572.000000000,1571.000000000,5,0
31.955999851,ACO,1573.000000000,1571.000000000,5,0
37.287999868,ACO,1574.000000000,1571.000000000,5,0
