agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
ACO,29,57,57,2520.000000000,65.241999865
Tabu Search,5,80,79,3206.000000000,0.182999849
RVNS,7,80,79,3206.000000000,0.154999971
HHO,3,8,8,2567.000000000,32.969999790
