elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.006000042,RVNS,2144.000000000,2144.000000000,1,1
0.006000042,Tabu Search,2106.000000000,2106.000000000,2,1
0.009000063,Tabu Search,2108.000000000,2106.000000000,3,0
0.009000063,RVNS,2146.000000000,2106.000000000,4,0
0.011000156,Tabu Search,2110.000000000,2106.000000000,5,0
0.012000084,RVNS,2141.000000000,2106.000000000,5,0
0.014000177,RVNS,2103.000000000,2103.000000000,5,1
0.016000032,RVNS,2104.000000000,2103.000000000,5,0
0.026000023,RVNS,2107.000000000,2103.000000000,5,0
0.027000189,Tabu Search,2102.000000000,2102.000000000,5,1
0.062999964,Tabu Search,2100.000000000,2100.000000000,5,1
0.074000120,RVNS,2105.000000000,2100.000000000,5,0
0.090000153,Tabu Search,2101.000000000,2100.000000000,5,0
1.256999969,ACO,2057.000000000,2057.000000000,5,1
2.517000198,ACO,2043.000000000,2043.000000000,5,1
4.367000103,ACO,2017.000000000,2017.000000000,5,1
4.476000071,HHO,1701.000000000,1701.000000000,5,1
5.216000080,ACO,2015.000000000,1701.000000000,5,0
7.927000046,ACO,2009.000000000,1701.000000000,5,0
8.707000017,HHO,1703.000000000,1701.000000000,5,0
8.782999992,ACO,2002.000000000,1701.000000000,5,0
9.639000177,ACO,2000.000000000,1701.000000000,5,0
10.532000065,ACO,2004.000000000,1701.000000000,5,0
11.386000156,ACO,1693.000000000,1693.000000000,5,1
12.233999968,ACO,1683.000000000,1683.000000000,5,1
13.165000200,HHO,1712.000000000,1683.000000000,5,0
14.034000158,ACO,1698.000000000,1683.000000000,5,0
16.084000111,ACO,1696.000000000,1683.000000000,5,0
18.029000044,ACO,1660.000000000,1660.000000000,5,1
18.921000004,ACO,1679.000000000,1660.000000000,5,0
23.702000141,ACO,1688.000000000,1660.000000000,5,0
26.778000116,ACO,1680.000000000,1660.000000000,5,0
30.344000101,ACO,1687.000000000,1660.000000000,5,0
34.268000126,ACO,1675.000000000,1660.000000000,5,0
35.113000154,ACO,1674.000000000,1660.000000000,5,0
35.955000162,ACO,1670.000000000,1660.000000000,5,0
36.940000057,ACO,1665.000000000,1660.000000000,5,0
37.815999985,ACO,1668.000000000,1660.000000000,5,0
38.660000086,ACO,1666.000000000,1660.000000000,5,0
41.251000166,ACO,1661.000000000,1660.000000000,5,0
