elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.003999949,Tabu Search,987.000000000,987.000000000,1,1
0.004999876,RVNS,997.000000000,987.000000000,2,0
0.007999897,Tabu Search,984.000000000,984.000000000,3,1
0.010999918,Tabu Search,990.000000000,984.000000000,4,0
0.011999846,RVNS,996.000000000,984.000000000,5,0
0.013999939,Tabu Search,988.000000000,984.000000000,5,0
0.019000053,RVNS,985.000000000,984.000000000,5,0
0.020999908,Tabu Search,989.000000000,984.000000000,5,0
0.027999878,Tabu Search,986.000000000,984.000000000,5,0
0.036000013,RVNS,983.000000000,983.000000000,5,1
0.871000051,ACO,936.000000000,936.000000000,5,1
1.878999949,HHO,814.000000000,814.000000000,5,1
2.389999866,ACO,939.000000000,814.000000000,5,0
3.190999985,ACO,942.000000000,814.000000000,5,0
4.349999905,ACO,937.000000000,814.000000000,5,0
4.365000010,HHO,818.000000000,814.000000000,5,0
6.369999886,ACO,820.000000000,814.000000000,5,0
7.128999949,HHO,815.000000000,814.000000000,5,0
7.259999990,ACO,823.000000000,814.000000000,5,0
9.078000069,ACO,804.000000000,804.000000000,5,1
10.029000044,HHO,796.000000000,796.000000000,5,1
10.951999903,ACO,817.000000000,796.000000000,5,0
11.848999977,ACO,786.000000000,786.000000000,5,1
12.750999928,ACO,798.000000000,786.000000000,5,0
13.708999872,ACO,803.000000000,786.000000000,5,0
14.611999989,ACO,792.000000000,786.000000000,5,0
15.677000046,ACO,794.000000000,786.000000000,5,0
16.646999836,ACO,785.000000000,785.000000000,5,1
18.526000023,ACO,780.000000000,780.000000000,5,1
20.632999897,ACO,784.000000000,780.000000000,5,0
23.493000031,ACO,791.000000000,780.000000000,5,0
