elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.005000114,RVNS,1711.000000000,1711.000000000,1,1
0.006000042,Tabu Search,1689.000000000,1689.000000000,2,1
0.006000042,RVNS,1707.000000000,1689.000000000,3,0
0.008000135,RVNS,1694.000000000,1689.000000000,4,0
0.009999990,Tabu Search,1691.000000000,1689.000000000,5,0
0.013000011,Tabu Search,1693.000000000,1689.000000000,5,0
0.016000032,Tabu Search,1690.000000000,1689.000000000,5,0
0.018000126,RVNS,1692.000000000,1689.000000000,5,0
0.031000137,RVNS,1687.000000000,1687.000000000,5,1
0.036999941,RVNS,1686.000000000,1686.000000000,5,1
0.056999922,Tabu Search,1688.000000000,1686.000000000,5,0
1.101000071,ACO,1602.000000000,1602.000000000,5,1
1.939000130,ACO,1588.000000000,1588.000000000,5,1
2.758000135,ACO,1592.000000000,1588.000000000,5,0
3.245000124,HHO,1335.000000000,1335.000000000,5,1
3.627000093,ACO,1589.000000000,1335.000000000,5,0
5.407999992,ACO,1569.000000000,1335.000000000,5,0
6.253999949,ACO,1570.000000000,1335.000000000,5,0
6.720999956,HHO,1332.000000000,1332.000000000,5,1
7.114000082,ACO,1578.000000000,1332.000000000,5,0
8.236000061,ACO,1344.000000000,1332.000000000,5,0
9.151000023,ACO,1328.000000000,1328.000000000,5,1
10.095999956,ACO,1325.000000000,1325.000000000,5,1
13.569000006,ACO,1334.000000000,1325.000000000,5,0
14.417999983,ACO,1333.000000000,1325.000000000,5,0
16.250000000,ACO,1331.000000000,1325.000000000,5,0
23.368999958,ACO,1329.000000000,1325.000000000,5,0
25.237999916,ACO,1322.000000000,1322.000000000,5,1
26.154000044,ACO,1316.000000000,1316.000000000,5,1
27.029999971,ACO,1326.000000000,1316.000000000,5,0
28.679000139,ACO,1308.000000000,1308.000000000,5,1
33.026000023,ACO,1313.000000000,1308.000000000,5,0
