elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.002000093,RVNS,882.000000000,882.000000000,1,1
0.003000021,Tabu Search,915.000000000,882.000000000,2,0
0.003000021,RVNS,884.000000000,882.000000000,3,0
0.004999876,RVNS,883.000000000,882.000000000,4,0
0.006000042,Tabu Search,881.000000000,881.000000000,5,1
0.009999990,RVNS,880.000000000,880.000000000,5,1
0.013000011,RVNS,879.000000000,879.000000000,5,1
0.076999903,Tabu Search,877.000000000,877.000000000,5,1
0.882999897,ACO,854.000000000,854.000000000,5,1
1.802999973,ACO,844.000000000,844.000000000,5,1
2.019000053,HHO,722.000000000,722.000000000,5,1
2.631000042,ACO,837.000000000,722.000000000,5,0
3.530999899,ACO,835.000000000,722.000000000,5,0
4.106999874,HHO,718.000000000,718.000000000,5,1
4.394000053,ACO,708.000000000,708.000000000,5,1
5.470000029,ACO,703.000000000,703.000000000,5,1
7.106999874,ACO,724.000000000,703.000000000,5,0
7.372999907,HHO,716.000000000,703.000000000,5,0
8.315000057,ACO,706.000000000,703.000000000,5,0
9.325000048,ACO,709.000000000,703.000000000,5,0
10.296999931,ACO,713.000000000,703.000000000,5,0
18.723000050,ACO,701.000000000,701.000000000,5,1
19.591000080,ACO,702.000000000,701.000000000,5,0
19.813999891,HHO,705.000000000,701.000000000,5,0
