elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.001999855,RVNS,554.000000000,554.000000000,1,1
0.003000021,Tabu Search,573.000000000,554.000000000,2,0
0.004999876,RVNS,555.000000000,554.000000000,3,0
0.006999969,RVNS,553.000000000,553.000000000,4,1
0.008999825,RVNS,556.000000000,553.000000000,5,0
0.008999825,Tabu Search,552.000000000,552.000000000,5,1
0.013000011,Tabu Search,550.000000000,550.000000000,5,1
0.017999887,Tabu Search,551.000000000,550.000000000,5,0
0.039000034,Tabu Search,548.000000000,548.000000000,5,1
0.040999889,RVNS,549.000000000,548.000000000,5,0
0.767999887,ACO,516.000000000,516.000000000,5,1
1.189999819,HHO,451.000000000,451.000000000,5,1
1.532999992,ACO,517.000000000,451.000000000,5,0
2.645999908,HHO,459.000000000,451.000000000,5,0
3.033999920,ACO,449.000000000,449.000000000,5,1
3.940999985,ACO,455.000000000,449.000000000,5,0
4.236999989,HHO,450.000000000,449.000000000,5,0
8.718999863,ACO,448.000000000,448.000000000,5,1
10.243999958,HHO,444.000000000,444.000000000,5,1
10.355000019,ACO,445.000000000,444.000000000,5,0
11.189999819,ACO,446.000000000,444.000000000,5,0
13.335000038,ACO,436.000000000,436.000000000,5,1
15.085000038,ACO,427.000000000,427.000000000,5,1
