elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.005000114,Tabu Search,1832.000000000,1832.000000000,1,1
0.006000042,RVNS,1781.000000000,1781.000000000,2,1
0.006000042,Tabu Search,1834.000000000,1781.000000000,3,0
0.008000135,RVNS,1777.000000000,1777.000000000,4,1
0.010000229,RVNS,1828.000000000,1777.000000000,5,0
0.014000177,RVNS,1833.000000000,1777.000000000,5,0
0.014000177,Tabu Search,1779.000000000,1777.000000000,5,0
0.017000198,RVNS,1780.000000000,1777.000000000,5,0
0.017000198,Tabu Search,1778.000000000,1777.000000000,5,0
0.020000219,Tabu Search,1773.000000000,1773.000000000,5,1
0.023000002,RVNS,1776.000000000,1773.000000000,5,0
0.027000189,Tabu Search,1774.000000000,1773.000000000,5,0
0.032999992,RVNS,1775.000000000,1773.000000000,5,0
0.038000107,RVNS,1769.000000000,1769.000000000,5,1
0.142000198,Tabu Search,1772.000000000,1769.000000000,5,0
0.155000210,Tabu Search,1771.000000000,1769.000000000,5,0
1.116000175,ACO,1723.000000000,1723.000000000,5,1
1.956000090,ACO,1717.000000000,1717.000000000,5,1
2.778000116,ACO,1708.000000000,1708.000000000,5,1
3.515000105,HHO,1459.000000000,1459.000000000,5,1
3.716000080,ACO,1710.000000000,1459.000000000,5,0
4.674000025,ACO,1440.000000000,1440.000000000,5,1
5.603000164,ACO,1446.000000000,1440.000000000,5,0
7.537000179,ACO,1444.000000000,1440.000000000,5,0
7.616000175,HHO,1434.000000000,1434.000000000,5,1
8.381000042,ACO,1441.000000000,1434.000000000,5,0
10.824000120,ACO,1410.000000000,1410.000000000,5,1
11.205000162,HHO,1424.000000000,1410.000000000,5,0
11.703999996,ACO,1418.000000000,1410.000000000,5,0
12.684000015,ACO,1404.000000000,1404.000000000,5,1
13.635000229,ACO,1407.000000000,1404.000000000,5,0
14.485000134,ACO,1421.000000000,1404.000000000,5,0
16.122000217,ACO,1400.000000000,1400.000000000,5,1
19.895000219,ACO,1398.000000000,1398.000000000,5,1
20.858000040,ACO,1408.000000000,1398.000000000,5,0
21.780000210,ACO,1406.000000000,1398.000000000,5,0
26.798000097,ACO,1401.000000000,1398.000000000,5,0
27.621000051,ACO,1397.000000000,1397.000000000,5,1
28.448000193,ACO,1395.000000000,1395.000000000,5,1
