elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.003999949,Tabu Search,1467.000000000,1467.000000000,1,1
0.004999876,RVNS,1429.000000000,1429.000000000,2,1
0.006999969,RVNS,1468.000000000,1429.000000000,3,0
0.006999969,Tabu Search,1427.000000000,1427.000000000,4,1
0.009999990,Tabu Search,1433.000000000,1427.000000000,5,0
0.009999990,RVNS,1430.000000000,1427.000000000,5,0
0.013999939,Tabu Search,1431.000000000,1427.000000000,5,0
0.016000032,Tabu Search,1432.000000000,1427.000000000,5,0
0.019999981,RVNS,1428.000000000,1427.000000000,5,0
0.037999868,RVNS,1426.000000000,1426.000000000,5,1
0.115999937,Tabu Search,1425.000000000,1425.000000000,5,1
1.019000053,ACO,1390.000000000,1390.000000000,5,1
1.838999987,ACO,1391.000000000,1390.000000000,5,0
2.687999964,ACO,1381.000000000,1381.000000000,5,1
2.924999952,HHO,1184.000000000,1184.000000000,5,1
3.460999966,ACO,1373.000000000,1184.000000000,5,0
4.305000067,ACO,1375.000000000,1184.000000000,5,0
5.169999838,ACO,1157.000000000,1157.000000000,5,1
5.960000038,ACO,1154.000000000,1154.000000000,5,1
5.964999914,HHO,1182.000000000,1154.000000000,5,0
7.695999861,ACO,1171.000000000,1154.000000000,5,0
9.549999952,ACO,1170.000000000,1154.000000000,5,0
9.608000040,HHO,1168.000000000,1154.000000000,5,0
11.240999937,ACO,1160.000000000,1154.000000000,5,0
12.059000015,ACO,1163.000000000,1154.000000000,5,0
15.323999882,ACO,1155.000000000,1154.000000000,5,0
17.124000072,HHO,1161.000000000,1154.000000000,5,0
17.855000019,ACO,1152.000000000,1152.000000000,5,1
18.675999880,ACO,1156.000000000,1152.000000000,5,0
19.524999857,ACO,1139.000000000,1139.000000000,5,1
21.445999861,ACO,1140.000000000,1139.000000000,5,0
22.378999949,ACO,1148.000000000,1139.000000000,5,0
23.753999949,ACO,1135.000000000,1135.000000000,5,1
25.496000051,ACO,1141.000000000,1135.000000000,5,0
26.299999952,ACO,1143.000000000,1135.000000000,5,0
28.730999947,ACO,1142.000000000,1135.000000000,5,0
30.277999878,ACO,1134.000000000,1134.000000000,5,1
