agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
ACO,3,8,8,88.000000000,3.790999889
Tabu Search,2,80,79,106.000000000,0.006000042
RVNS,3,80,79,106.000000000,0.003000021
HHO,6,8,8,84.000000000,4.485999823
