elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.003999949,RVNS,2699.000000000,2699.000000000,1,1
0.006000042,Tabu Search,2670.000000000,2670.000000000,2,1
0.006999969,RVNS,2701.000000000,2670.000000000,3,0
0.009000063,Tabu Search,2669.000000000,2669.000000000,4,1
0.009999990,RVNS,2705.000000000,2669.000000000,5,0
0.013999939,RVNS,2671.000000000,2669.000000000,5,0
0.013999939,Tabu Search,2666.000000000,2666.000000000,5,1
0.017999887,Tabu Search,2672.000000000,2666.000000000,5,0
0.022000074,RVNS,2667.000000000,2666.000000000,5,0
0.022000074,Tabu Search,2668.000000000,2666.000000000,5,0
0.026999950,RVNS,2665.000000000,2665.000000000,5,1
0.045000076,RVNS,2661.000000000,2661.000000000,5,1
0.055000067,RVNS,2664.000000000,2661.000000000,5,0
0.111999989,Tabu Search,2663.000000000,2661.000000000,5,0
0.254999876,Tabu Search,2662.000000000,2661.000000000,5,0
1.289000034,ACO,2590.000000000,2590.000000000,5,1
3.175999880,ACO,2567.000000000,2567.000000000,5,1
5.353999853,ACO,2552.000000000,2552.000000000,5,1
5.493000031,HHO,2139.000000000,2139.000000000,5,1
7.264999866,ACO,2553.000000000,2139.000000000,5,0
8.214999914,ACO,2554.000000000,2139.000000000,5,0
9.148999929,ACO,2146.000000000,2139.000000000,5,0
10.302000046,ACO,2135.000000000,2135.000000000,5,1
10.963000059,HHO,2156.000000000,2135.000000000,5,0
11.332000017,ACO,2118.000000000,2118.000000000,5,1
13.295000076,ACO,2151.000000000,2118.000000000,5,0
15.191999912,ACO,2138.000000000,2118.000000000,5,0
16.740000010,HHO,2145.000000000,2118.000000000,5,0
18.056999922,ACO,2141.000000000,2118.000000000,5,0
18.993999958,ACO,2137.000000000,2118.000000000,5,0
28.023999929,ACO,2120.000000000,2118.000000000,5,0
29.096999884,ACO,2122.000000000,2118.000000000,5,0
30.241999865,ACO,2136.000000000,2118.000000000,5,0
30.675999880,HHO,2131.000000000,2118.000000000,5,0
36.312999964,ACO,2124.000000000,2118.000000000,5,0
41.023999929,ACO,2123.000000000,2118.000000000,5,0
41.934999943,ACO,2117.000000000,2117.000000000,5,1
