agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
ACO,16,32,32,1039.000000000,26.865000010
Tabu Search,6,80,79,1317.000000000,0.118000031
RVNS,6,80,79,1317.000000000,0.023000002
HHO,4,8,8,1064.000000000,15.803999901
