agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
ACO,17,28,28,875.000000000,17.210000038
Tabu Search,6,80,79,1079.000000000,0.063999891
RVNS,4,80,79,1079.000000000,0.095999956
HHO,3,8,8,885.000000000,4.717000008
