elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.009000063,Tabu Search,3353.000000000,3353.000000000,1,1
0.012000084,RVNS,3363.000000000,3353.000000000,2,0
0.013000011,Tabu Search,3350.000000000,3350.000000000,3,1
0.019000053,Tabu Search,3355.000000000,3350.000000000,4,0
0.022000074,RVNS,3356.000000000,3350.000000000,5,0
0.023999929,Tabu Search,3361.000000000,3350.000000000,5,0
0.026999950,RVNS,3351.000000000,3350.000000000,5,0
0.036999941,RVNS,3354.000000000,3350.000000000,5,0
0.059000015,Tabu Search,3348.000000000,3348.000000000,5,1
0.082999945,Tabu Search,3352.000000000,3348.000000000,5,0
0.157000065,RVNS,3346.000000000,3346.000000000,5,1
0.178999901,RVNS,3347.000000000,3346.000000000,5,0
0.204999924,RVNS,3345.000000000,3345.000000000,5,1
1.377000093,ACO,3259.000000000,3259.000000000,5,1
2.410000086,ACO,3238.000000000,3238.000000000,5,1
3.470000029,ACO,3244.000000000,3238.000000000,5,0
4.997999907,ACO,3231.000000000,3231.000000000,5,1
6.243000031,ACO,3221.000000000,3221.000000000,5,1
7.180999994,HHO,2676.000000000,2676.000000000,5,1
7.441999912,ACO,3218.000000000,2676.000000000,5,0
8.551000118,ACO,3188.000000000,2676.000000000,5,0
9.756999969,ACO,3185.000000000,2676.000000000,5,0
10.842999935,ACO,3183.000000000,2676.000000000,5,0
12.161999941,ACO,2687.000000000,2676.000000000,5,0
13.385999918,ACO,2680.000000000,2676.000000000,5,0
14.756000042,ACO,2690.000000000,2676.000000000,5,0
14.852999926,HHO,2678.000000000,2676.000000000,5,0
16.144999981,ACO,2669.000000000,2669.000000000,5,1
17.286000013,ACO,2681.000000000,2669.000000000,5,0
18.602999926,ACO,2661.000000000,2661.000000000,5,1
27.722000122,ACO,2662.000000000,2661.000000000,5,0
32.592999935,ACO,2659.000000000,2659.000000000,5,1
32.949000120,HHO,2675.000000000,2659.000000000,5,0
33.936000109,ACO,2658.000000000,2658.000000000,5,1
35.446000099,ACO,2647.000000000,2647.000000000,5,1
40.532000065,ACO,2652.000000000,2647.000000000,5,0
42.992000103,ACO,2656.000000000,2647.000000000,5,0
52.255000114,ACO,2653.000000000,2647.000000000,5,0
59.743000031,ACO,2648.000000000,2647.000000000,5,0
66.030999899,ACO,2645.000000000,2645.000000000,5,1
72.378999949,ACO,2651.000000000,2645.000000000,5,0
74.762000084,ACO,2649.000000000,2645.000000000,5,0
