elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.006999969,Tabu Search,2883.000000000,2883.000000000,1,1
0.007999897,RVNS,2923.000000000,2883.000000000,2,0
0.011999846,Tabu Search,2879.000000000,2879.000000000,3,1
0.013000011,RVNS,2921.000000000,2879.000000000,4,0
0.017999887,Tabu Search,2877.000000000,2877.000000000,5,1
0.018999815,RVNS,2919.000000000,2877.000000000,5,0
0.023000002,Tabu Search,2875.000000000,2875.000000000,5,1
0.032999992,Tabu Search,2884.000000000,2875.000000000,5,0
0.036999941,Tabu Search,2878.000000000,2875.000000000,5,0
0.040999889,RVNS,2880.000000000,2875.000000000,5,0
0.069999933,RVNS,2876.000000000,2875.000000000,5,0
0.083999872,RVNS,2873.000000000,2873.000000000,5,1
0.181999922,Tabu Search,2874.000000000,2873.000000000,5,0
1.791999817,ACO,2814.000000000,2814.000000000,5,1
2.805999994,ACO,2809.000000000,2809.000000000,5,1
3.776999950,ACO,2772.000000000,2772.000000000,5,1
4.797999859,ACO,2763.000000000,2763.000000000,5,1
5.735999823,ACO,2762.000000000,2762.000000000,5,1
6.106999874,HHO,2331.000000000,2331.000000000,5,1
6.782999992,ACO,2769.000000000,2331.000000000,5,0
8.705999851,ACO,2752.000000000,2331.000000000,5,0
9.648999929,ACO,2754.000000000,2331.000000000,5,0
10.623999834,ACO,2749.000000000,2331.000000000,5,0
11.576999903,ACO,2744.000000000,2331.000000000,5,0
11.939999819,HHO,2300.000000000,2300.000000000,5,1
12.836999893,ACO,2317.000000000,2300.000000000,5,0
13.953999996,ACO,2310.000000000,2300.000000000,5,0
14.954999924,ACO,2309.000000000,2300.000000000,5,0
15.903999805,ACO,2324.000000000,2300.000000000,5,0
16.833999872,ACO,2311.000000000,2300.000000000,5,0
18.921999931,ACO,2299.000000000,2299.000000000,5,1
23.901999950,ACO,2286.000000000,2286.000000000,5,1
26.801999807,ACO,2293.000000000,2286.000000000,5,0
28.033999920,ACO,2306.000000000,2286.000000000,5,0
32.536999941,HHO,2297.000000000,2286.000000000,5,0
35.877999783,ACO,2289.000000000,2286.000000000,5,0
36.817999840,ACO,2295.000000000,2286.000000000,5,0
49.974999905,ACO,2278.000000000,2278.000000000,5,1
51.976999998,ACO,2283.000000000,2278.000000000,5,0
53.884999990,ACO,2282.000000000,2278.000000000,5,0
