elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.006999969,RVNS,2481.000000000,2481.000000000,1,1
0.006999969,Tabu Search,2447.000000000,2447.000000000,2,1
0.009999990,RVNS,2483.000000000,2447.000000000,3,0
0.011000156,Tabu Search,2446.000000000,2446.000000000,4,1
0.013000011,RVNS,2482.000000000,2446.000000000,5,0
0.015000105,Tabu Search,2445.000000000,2445.000000000,5,1
0.018000126,Tabu Search,2443.000000000,2443.000000000,5,1
0.019000053,RVNS,2477.000000000,2443.000000000,5,0
0.023000002,RVNS,2444.000000000,2443.000000000,5,0
0.026999950,RVNS,2440.000000000,2440.000000000,5,1
0.035000086,RVNS,2442.000000000,2440.000000000,5,0
0.046000004,Tabu Search,2441.000000000,2440.000000000,5,0
0.186000109,RVNS,2439.000000000,2439.000000000,5,1
1.347000122,ACO,2373.000000000,2373.000000000,5,1
2.304000139,ACO,2365.000000000,2365.000000000,5,1
3.278000116,ACO,2345.000000000,2345.000000000,5,1
4.334000111,ACO,2347.000000000,2345.000000000,5,0
5.021000147,HHO,1937.000000000,1937.000000000,5,1
5.401999950,ACO,2341.000000000,1937.000000000,5,0
6.509999990,ACO,2334.000000000,1937.000000000,5,0
7.539000034,ACO,2330.000000000,1937.000000000,5,0
8.470999956,ACO,2333.000000000,1937.000000000,5,0
9.348000050,ACO,2335.000000000,1937.000000000,5,0
10.167999983,HHO,1957.000000000,1937.000000000,5,0
10.230000019,ACO,2321.000000000,1937.000000000,5,0
11.148000002,ACO,2315.000000000,1937.000000000,5,0
12.239000082,ACO,2303.000000000,1937.000000000,5,0
13.124000072,ACO,1958.000000000,1937.000000000,5,0
14.008000135,ACO,1955.000000000,1937.000000000,5,0
14.903000116,ACO,1953.000000000,1937.000000000,5,0
15.797000170,ACO,1948.000000000,1937.000000000,5,0
16.743000031,ACO,1938.000000000,1937.000000000,5,0
17.758000135,ACO,1931.000000000,1931.000000000,5,1
21.582999945,HHO,1941.000000000,1931.000000000,5,0
21.940999985,ACO,1945.000000000,1931.000000000,5,0
23.975000143,ACO,1939.000000000,1931.000000000,5,0
33.911999941,HHO,1933.000000000,1931.000000000,5,0
38.496999979,ACO,1936.000000000,1931.000000000,5,0
40.590000153,ACO,1935.000000000,1931.000000000,5,0
43.437000036,ACO,1932.000000000,1931.000000000,5,0
44.472000122,ACO,1922.000000000,1922.000000000,5,1
45.404000044,ACO,1903.000000000,1903.000000000,5,1
47.604000092,HHO,1928.000000000,1903.000000000,5,0
48.161000013,ACO,1925.000000000,1903.000000000,5,0
