elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.003000021,RVNS,351.000000000,351.000000000,1,1
0.003000021,Tabu Search,346.000000000,346.000000000,2,1
0.005000114,Tabu Search,345.000000000,345.000000000,3,1
0.005000114,RVNS,350.000000000,345.000000000,4,0
0.006999969,Tabu Search,344.000000000,344.000000000,5,1
0.008000135,RVNS,347.000000000,344.000000000,5,0
0.013000011,RVNS,348.000000000,344.000000000,5,0
0.036999941,Tabu Search,343.000000000,343.000000000,5,1
0.851999998,ACO,309.000000000,309.000000000,5,1
0.907000065,HHO,271.000000000,271.000000000,5,1
1.584000111,ACO,307.000000000,271.000000000,5,0
1.839999914,HHO,270.000000000,270.000000000,5,1
2.331000090,ACO,305.000000000,270.000000000,5,0
2.881999969,HHO,263.000000000,263.000000000,5,1
3.181999922,ACO,268.000000000,263.000000000,5,0
4.194999933,ACO,275.000000000,263.000000000,5,0
6.825999975,ACO,267.000000000,263.000000000,5,0
12.759000063,ACO,262.000000000,262.000000000,5,1
14.963000059,HHO,256.000000000,256.000000000,5,1
