agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
ACO,24,44,44,1660.000000000,18.029000044
Tabu Search,6,80,79,2100.000000000,0.062999964
RVNS,7,80,79,2103.000000000,0.014000177
HHO,3,8,8,1701.000000000,4.476000071
