elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.000999928,Tabu Search,113.000000000,113.000000000,1,1
0.001999855,RVNS,108.000000000,108.000000000,2,1
0.001999855,Tabu Search,107.000000000,107.000000000,3,1
0.003000021,RVNS,106.000000000,106.000000000,4,1
0.006999969,RVNS,112.000000000,106.000000000,5,0
0.474999905,HHO,87.000000000,87.000000000,5,1
0.731999874,ACO,96.000000000,87.000000000,5,0
1.549999952,ACO,97.000000000,87.000000000,5,0
1.634999990,HHO,85.000000000,85.000000000,5,1
2.310999870,HHO,89.000000000,85.000000000,5,0
2.978999853,HHO,93.000000000,85.000000000,5,0
3.773999929,HHO,86.000000000,85.000000000,5,0
3.790999889,ACO,88.000000000,85.000000000,5,0
4.485999823,HHO,84.000000000,84.000000000,5,1
