elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.006999969,RVNS,2785.000000000,2785.000000000,1,1
0.006999969,Tabu Search,2816.000000000,2785.000000000,2,0
0.010999918,Tabu Search,2792.000000000,2785.000000000,3,0
0.010999918,RVNS,2788.000000000,2785.000000000,4,0
0.014999866,RVNS,2786.000000000,2785.000000000,5,0
0.016999960,Tabu Search,2789.000000000,2785.000000000,5,0
0.017999887,RVNS,2783.000000000,2783.000000000,5,1
0.020999908,Tabu Search,2787.000000000,2783.000000000,5,0
0.030999899,Tabu Search,2784.000000000,2783.000000000,5,0
0.032000065,RVNS,2781.000000000,2781.000000000,5,1
0.082999945,Tabu Search,2780.000000000,2780.000000000,5,1
1.361999989,ACO,2717.000000000,2717.000000000,5,1
2.310999870,ACO,2701.000000000,2701.000000000,5,1
3.384000063,ACO,2682.000000000,2682.000000000,5,1
4.299000025,ACO,2686.000000000,2682.000000000,5,0
5.217999935,ACO,2657.000000000,2657.000000000,5,1
5.465999842,HHO,2216.000000000,2216.000000000,5,1
6.138999939,ACO,2656.000000000,2216.000000000,5,0
7.073999882,ACO,2654.000000000,2216.000000000,5,0
8.135999918,ACO,2651.000000000,2216.000000000,5,0
9.086999893,ACO,2239.000000000,2216.000000000,5,0
10.036000013,ACO,2193.000000000,2193.000000000,5,1
10.967999935,HHO,2220.000000000,2193.000000000,5,0
11.282000065,ACO,2229.000000000,2193.000000000,5,0
13.605000019,ACO,2212.000000000,2193.000000000,5,0
15.526000023,ACO,2197.000000000,2193.000000000,5,0
18.507999897,ACO,2210.000000000,2193.000000000,5,0
19.467999935,ACO,2208.000000000,2193.000000000,5,0
21.419999838,ACO,2211.000000000,2193.000000000,5,0
23.532000065,HHO,2200.000000000,2193.000000000,5,0
32.725999832,ACO,2204.000000000,2193.000000000,5,0
34.731999874,ACO,2206.000000000,2193.000000000,5,0
39.664999962,ACO,2191.000000000,2191.000000000,5,1
40.812999964,ACO,2180.000000000,2180.000000000,5,1
