elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.005000114,RVNS,2224.000000000,2224.000000000,1,1
0.006000042,Tabu Search,2250.000000000,2224.000000000,2,0
0.009999990,RVNS,2255.000000000,2224.000000000,3,0
0.009999990,Tabu Search,2228.000000000,2224.000000000,4,0
0.012000084,RVNS,2225.000000000,2224.000000000,5,0
0.013000011,Tabu Search,2223.000000000,2223.000000000,5,1
0.016000032,Tabu Search,2232.000000000,2223.000000000,5,0
0.016999960,RVNS,2227.000000000,2223.000000000,5,0
0.023999929,RVNS,2222.000000000,2222.000000000,5,1
0.032000065,RVNS,2221.000000000,2221.000000000,5,1
0.039000034,RVNS,2219.000000000,2219.000000000,5,1
1.226000071,ACO,2161.000000000,2161.000000000,5,1
2.130000114,ACO,2142.000000000,2142.000000000,5,1
3.088000059,ACO,2141.000000000,2141.000000000,5,1
4.279000044,ACO,2139.000000000,2139.000000000,5,1
4.812000036,HHO,1775.000000000,1775.000000000,5,1
5.263999939,ACO,2144.000000000,1775.000000000,5,0
6.121000051,ACO,1759.000000000,1759.000000000,5,1
6.967000008,ACO,1780.000000000,1759.000000000,5,0
7.837000132,ACO,1772.000000000,1759.000000000,5,0
8.712000132,ACO,1779.000000000,1759.000000000,5,0
9.160000086,HHO,1767.000000000,1759.000000000,5,0
9.726000071,ACO,1760.000000000,1759.000000000,5,0
13.266000032,ACO,1771.000000000,1759.000000000,5,0
13.737999916,HHO,1768.000000000,1759.000000000,5,0
16.003999949,ACO,1761.000000000,1759.000000000,5,0
22.720999956,ACO,1764.000000000,1759.000000000,5,0
23.578999996,ACO,1742.000000000,1742.000000000,5,1
24.437000036,ACO,1753.000000000,1742.000000000,5,0
25.301000118,ACO,1741.000000000,1741.000000000,5,1
26.163000107,ACO,1757.000000000,1741.000000000,5,0
36.417000055,ACO,1754.000000000,1741.000000000,5,0
37.286000013,ACO,1750.000000000,1741.000000000,5,0
40.131000042,ACO,1749.000000000,1741.000000000,5,0
